machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
L,297.09,307.0,1593.1,19.11,27,786.9,1.694,136.09,Power Failure,1
M,296.92,307.68,1420.8,37.16,63,1005.9,2.188,145.48,No Failure,0
H,296.7,306.54,1477.4,39.21,116,961.6,2.869,136.55,No Failure,0
M,300.67,309.66,1872.5,27.68,27,1404.5,1.676,145.61,No Failure,0
L,298.04,308.53,1699.1,30.3,73,1847.8,2.283,147.34,No Failure,0
H,297.18,307.79,1343.5,53.37,224,725.8,4.291,169.8,No Failure,0
L,300.76,310.61,1755.2,4.19,145,1986.6,2.524,138.23,Power Failure,1
L,301.65,311.96,1476.9,42.71,232,1737.7,4.323,174.79,No Failure,0
H,302.1,313.06,1431.5,51.64,63,338.0,1.981,154.54,No Failure,0
M,301.75,311.7,1559.9,39.73,135,354.4,3.18,173.55,No Failure,0
H,298.16,307.72,1448.8,54.09,247,573.5,4.286,160.93,Overstrain Failure,1
H,300.55,309.84,1641.9,35.73,67,94.2,2.042,143.75,No Failure,0
M,300.99,310.74,1752.7,30.95,188,545.6,2.719,146.47,No Failure,0
L,299.05,310.59,1488.7,39.91,123,319.9,2.352,148.56,No Failure,0
L,300.33,310.13,1511.3,36.18,79,532.9,2.163,146.06,No Failure,0
H,297.5,307.86,1513.0,34.28,27,2587.3,1.506,169.52,No Failure,0
H,298.74,308.42,1489.5,38.2,237,399.7,4.233,145.97,No Failure,0
L,300.74,310.33,1596.6,32.08,33,387.8,1.993,127.79,No Failure,0
L,303.02,312.14,1624.2,31.62,31,373.4,2.193,147.39,No Failure,0
L,302.3,312.4,1745.1,28.78,119,1228.4,2.52,147.44,No Failure,0
L,301.32,310.8,1402.9,44.17,24,161.4,2.12,147.26,No Failure,0
H,300.16,311.43,1612.2,30.01,210,645.2,3.028,151.03,No Failure,0
L,299.85,309.74,1523.7,27.58,186,1081.7,3.929,153.4,No Failure,0
L,297.1,307.06,1622.3,29.26,36,1110.8,2.284,168.5,No Failure,0
H,298.33,308.15,1724.1,42.06,225,558.2,3.643,156.72,No Failure,0
M,298.39,308.77,1434.1,46.69,160,95.5,3.814,124.63,No Failure,0
L,301.15,312.64,1660.6,47.51,173,862.5,3.135,136.68,No Failure,0
L,301.89,310.85,1407.5,42.14,83,268.6,2.271,145.98,No Failure,0
L,301.47,311.75,1415.7,45.36,209,1072.2,3.8,158.34,No Failure,0
L,302.37,310.8,1473.5,39.45,13,647.5,1.456,154.18,No Failure,0
L,300.14,311.37,1479.3,44.56,244,817.3,4.313,137.53,No Failure,0
L,298.03,307.93,1450.9,44.4,62,1481.6,2.649,157.82,No Failure,0
L,299.9,308.41,1627.1,32.7,38,534.8,1.408,157.3,No Failure,0
L,298.55,307.27,1338.8,29.24,17,1979.6,1.59,163.16,No Failure,0
L,301.32,312.13,1303.6,53.52,20,631.9,1.773,144.29,No Failure,0
H,299.28,307.62,1660.5,41.25,46,287.7,2.168,158.66,No Failure,0
L,299.8,310.08,1289.2,50.52,132,496.9,3.22,153.29,No Failure,0
L,301.39,310.96,1555.9,29.0,76,179.0,1.949,131.73,No Failure,0
H,298.52,308.32,1587.6,35.94,134,346.8,2.81,160.14,No Failure,0
L,301.93,311.25,1606.0,26.23,43,731.2,1.786,150.86,No Failure,0
L,297.3,306.35,1371.8,46.46,204,726.0,3.564,157.69,No Failure,0
H,300.61,310.13,1589.2,33.86,100,434.8,1.975,123.59,No Failure,0
M,299.82,310.39,1619.6,34.46,142,1022.2,3.142,148.26,No Failure,0
L,301.65,311.36,1289.8,59.56,0,1832.9,2.222,142.56,No Failure,0
M,297.25,307.67,1483.4,46.66,83,194.8,2.78,164.31,No Failure,0
M,296.94,306.7,1525.1,46.54,7,1373.1,1.503,146.91,No Failure,0
L,301.5,312.11,1693.4,27.98,86,163.9,2.15,150.66,No Failure,0
L,299.22,309.63,1681.9,21.42,191,761.2,2.649,147.6,No Failure,0
L,299.82,309.28,1576.2,49.71,114,275.1,3.56,154.7,No Failure,0
H,298.68,307.73,1683.5,17.6,194,1174.1,2.693,150.42,Power Failure,1
L,301.83,312.78,1451.7,34.98,19,985.3,2.065,143.56,No Failure,0
L,300.6,309.79,1545.3,31.88,95,844.4,2.155,156.08,No Failure,0
M,300.48,310.98,1683.1,30.75,0,1015.4,1.506,149.94,No Failure,0
H,297.66,307.69,1454.9,35.59,245,73.5,3.885,144.87,No Failure,0
L,301.0,310.54,1382.7,29.44,241,304.7,3.683,145.32,No Failure,0
L,298.02,308.45,1638.7,27.84,68,256.2,2.159,160.07,No Failure,0
L,298.68,310.05,1439.6,42.55,187,1434.1,3.355,154.25,No Failure,0
M,297.27,307.89,1617.0,50.66,186,410.9,3.189,134.0,No Failure,0
L,299.69,309.82,1662.9,22.64,94,1138.4,2.143,149.6,No Failure,0
H,302.13,313.75,1595.7,41.96,110,1109.3,3.073,168.52,No Failure,0
L,300.45,308.78,1412.5,45.41,249,691.6,4.203,142.27,Overstrain Failure,1
L,299.12,308.0,1517.7,44.47,85,59.4,2.257,151.76,No Failure,0
L,300.22,309.75,1551.1,37.79,108,184.3,3.465,138.71,No Failure,0
L,300.21,311.63,1671.9,34.03,72,456.7,2.203,145.38,No Failure,0
L,300.13,311.07,1456.5,47.59,102,408.7,2.517,147.84,No Failure,0
M,300.35,308.64,1426.0,43.35,57,1061.9,2.882,157.37,No Failure,0
L,297.92,307.48,1745.0,21.06,7,632.6,0.772,143.73,No Failure,0
M,300.21,308.89,1453.4,37.79,165,555.1,2.926,168.44,No Failure,0
L,296.49,306.45,1422.0,40.55,73,620.5,2.648,138.04,No Failure,0
M,301.15,312.05,1583.5,29.06,7,930.5,1.167,153.71,No Failure,0
L,297.79,308.77,1490.1,37.57,26,516.3,2.031,132.14,No Failure,0
M,302.36,312.62,1462.2,44.92,226,1343.5,4.216,151.67,No Failure,0
L,295.11,304.68,1506.1,31.73,113,486.0,3.185,163.06,No Failure,0
H,303.35,313.25,1582.2,42.33,63,2276.6,2.595,154.07,No Failure,0
H,296.72,307.4,1678.7,30.1,80,450.4,2.065,135.55,No Failure,0
H,297.6,309.95,1673.7,27.63,120,497.4,2.332,174.38,No Failure,0
H,300.6,309.41,1516.6,46.16,76,271.3,2.166,162.59,No Failure,0
L,301.24,312.83,1239.8,51.74,97,680.6,2.47,146.06,No Failure,0
M,299.43,309.68,1605.2,28.16,104,530.2,2.521,151.34,No Failure,0
L,301.79,312.61,1501.0,49.53,237,380.9,3.627,152.09,Overstrain Failure,1
H,298.41,308.59,1621.7,39.87,82,276.9,2.466,131.46,No Failure,0
L,299.2,310.6,1658.7,17.87,42,100.8,0.999,141.28,Power Failure,1
L,299.4,309.73,1732.1,25.65,118,1234.9,2.57,150.27,No Failure,0
M,298.92,308.27,1479.0,46.08,91,358.5,2.467,166.72,No Failure,0
L,296.13,306.58,1397.4,23.76,159,499.1,3.055,142.08,Power Failure,1
M,299.95,311.08,1540.6,33.81,165,653.0,2.316,147.59,No Failure,0
L,299.77,309.77,1430.9,39.19,114,168.3,3.008,161.12,No Failure,0
M,302.16,310.08,1409.1,44.48,70,1290.1,2.393,158.05,No Failure,0
H,297.43,307.31,1579.9,41.85,176,74.7,3.256,166.98,No Failure,0
M,298.72,308.82,1401.3,55.69,136,1635.8,3.431,158.87,No Failure,0
L,302.41,312.36,1518.6,31.84,79,1273.6,2.36,153.98,No Failure,0
L,300.59,310.09,1431.2,40.99,6,1068.0,1.266,154.07,No Failure,0
L,301.1,312.42,1503.2,44.53,7,1164.6,1.808,165.74,No Failure,0
L,300.91,308.53,1426.4,47.12,225,587.7,4.212,142.52,No Failure,0
M,300.92,311.01,1478.6,50.51,157,1745.3,2.902,159.19,No Failure,0
L,303.64,313.75,1460.4,35.66,209,1498.6,3.664,144.81,No Failure,0
L,300.18,312.28,1413.6,46.51,103,1054.2,3.122,145.68,No Failure,0
L,297.98,307.96,1473.3,30.74,31,39.6,1.776,152.77,No Failure,0
H,301.28,311.72,1456.4,39.22,246,729.7,3.903,150.13,No Failure,0
L,298.87,308.99,1655.9,45.01,182,1244.4,3.109,143.25,No Failure,0
L,299.78,309.87,1355.7,49.75,167,680.2,3.135,148.16,No Failure,0
L,300.74,312.5,1411.8,45.7,15,886.7,1.743,149.44,No Failure,0
L,298.36,307.25,1418.6,40.91,15,1076.2,2.001,156.66,No Failure,0
H,298.98,308.31,1489.9,39.21,230,194.4,4.062,150.23,No Failure,0
L,300.95,311.71,1449.6,45.49,212,1440.8,3.71,155.04,No Failure,0
M,298.9,309.16,1434.5,61.89,29,1769.2,2.08,154.41,Power Failure,1
M,301.95,311.66,1395.1,48.55,139,1305.7,2.978,143.16,No Failure,0
H,298.03,307.96,1479.8,43.82,89,1192.5,2.913,154.35,No Failure,0
M,298.02,308.93,1440.8,26.31,158,799.5,2.448,120.4,No Failure,0
M,303.81,314.3,1489.7,31.56,214,662.9,3.576,173.17,Tool Wear Failure,1
L,296.94,306.23,1623.6,36.76,158,306.1,2.952,176.07,No Failure,0
L,299.95,310.18,1350.2,49.1,51,3506.8,2.483,152.44,No Failure,0
M,303.7,313.65,1644.0,30.63,99,910.8,2.328,142.6,No Failure,0
M,299.94,310.41,1365.3,46.42,232,391.3,3.659,155.94,No Failure,0
M,302.69,312.37,1474.9,41.2,16,666.8,2.245,134.25,No Failure,0
L,301.3,310.1,1625.9,43.55,166,1174.7,3.383,166.43,No Failure,0
L,299.99,310.66,1584.3,37.84,124,540.9,2.831,156.36,No Failure,0
L,299.74,310.29,1372.0,34.03,118,932.7,2.227,141.63,No Failure,0
L,295.76,307.18,1867.8,30.26,6,516.1,1.353,135.78,No Failure,0
L,299.36,308.05,1357.6,46.12,30,1173.7,1.787,121.29,No Failure,0
L,300.46,310.39,1674.1,39.23,112,780.2,2.663,155.45,No Failure,0
M,300.46,310.23,1546.0,29.23,164,1146.2,2.446,131.15,No Failure,0
M,304.93,314.54,1371.5,42.23,41,371.8,2.078,145.22,No Failure,0
M,300.56,309.02,1185.5,74.23,147,1746.4,3.989,149.56,Heat Dissipation Failure,1
M,301.26,310.19,1457.3,37.99,224,440.6,3.62,143.64,No Failure,0
L,302.33,312.6,1318.3,56.54,105,883.2,3.047,133.54,No Failure,0
L,301.08,310.58,1712.2,14.15,178,216.2,2.536,150.54,Power Failure,1
M,299.83,309.0,1564.7,37.3,100,318.9,3.036,150.29,No Failure,0
H,299.84,311.27,1551.5,49.55,19,346.9,1.66,148.39,No Failure,0
M,299.3,311.67,1518.1,40.16,147,907.1,3.001,170.59,No Failure,0
M,300.89,310.83,1558.4,33.57,19,646.0,1.405,172.77,No Failure,0
M,299.66,308.16,1437.1,39.74,102,485.8,2.32,147.91,No Failure,0
M,301.25,311.65,1396.0,49.85,74,400.8,2.999,160.18,No Failure,0
M,297.98,305.9,1283.2,61.43,170,1793.2,4.158,144.41,Heat Dissipation Failure,1
M,300.29,308.94,1291.2,50.66,9,563.1,1.742,132.11,No Failure,0
L,303.1,313.52,1770.0,34.95,109,727.6,3.606,154.64,No Failure,0
L,299.55,308.17,1540.4,37.67,25,255.5,2.127,133.25,No Failure,0
L,303.69,313.39,1541.0,37.75,244,931.7,4.293,163.11,No Failure,0
M,300.33,308.84,1679.0,31.33,173,1385.3,3.152,149.36,No Failure,0
M,299.89,309.94,1280.1,38.45,138,1187.5,3.3,146.27,No Failure,0
L,300.23,311.36,1723.4,37.26,220,138.3,3.777,138.01,No Failure,0
L,299.38,308.76,1518.7,27.99,35,521.2,1.408,149.86,No Failure,0
M,296.04,306.02,1353.4,48.38,162,1001.7,3.376,145.33,No Failure,0
L,301.76,310.94,1417.5,44.21,242,981.2,3.966,130.82,No Failure,0
H,304.39,313.64,1639.9,33.59,118,101.6,2.276,147.24,No Failure,0
L,300.96,310.13,1681.2,41.48,246,229.5,4.388,149.84,No Failure,0
L,301.08,311.87,1724.7,30.35,212,363.4,3.575,155.65,No Failure,0
L,299.63,308.22,1500.8,34.48,248,1090.8,3.945,143.68,No Failure,0
L,302.32,311.98,1283.1,46.88,37,599.9,2.629,148.67,No Failure,0
L,299.92,310.33,1425.0,44.71,76,354.4,2.502,144.49,No Failure,0
L,300.53,311.44,1483.5,34.87,195,1202.3,3.816,144.33,No Failure,0
L,296.87,307.31,1327.0,43.11,85,999.2,2.195,145.45,No Failure,0
L,298.94,308.87,1558.4,39.26,179,1033.3,3.137,153.07,No Failure,0
M,300.73,310.17,1580.2,30.03,1,459.6,1.41,145.79,No Failure,0
L,301.81,312.74,1558.4,38.33,155,61.1,3.145,146.09,No Failure,0
L,301.87,311.0,1531.3,44.32,221,681.5,3.985,161.83,No Failure,0
L,296.84,305.99,1537.1,43.06,67,315.6,2.632,150.43,No Failure,0
H,297.04,308.4,1629.6,23.07,177,1535.8,4.117,160.42,No Failure,0
M,301.17,311.53,1634.3,41.66,24,871.7,1.389,131.17,No Failure,0
H,298.51,308.9,1453.9,40.25,70,238.8,2.121,169.52,No Failure,0
H,301.79,312.39,1594.4,21.02,44,255.5,1.78,153.64,No Failure,0
L,296.74,306.64,1543.8,31.92,46,393.6,2.484,148.37,No Failure,0
M,299.8,308.37,1509.1,44.92,122,2326.6,2.85,158.97,No Failure,0
L,299.93,310.18,1450.6,53.85,222,1121.8,4.09,169.19,Overstrain Failure,1
H,300.96,310.94,1600.6,23.59,25,1756.3,1.398,139.66,No Failure,0
L,297.94,307.08,1392.9,49.79,88,112.8,2.834,126.27,No Failure,0
L,296.07,304.98,1767.9,21.2,11,419.8,1.324,152.62,No Failure,0
H,300.34,310.3,1270.5,53.98,140,1708.4,3.524,131.08,No Failure,0
H,301.05,309.7,1766.3,37.61,157,2108.7,3.489,137.81,No Failure,0
H,302.01,311.87,1530.1,32.85,39,1222.1,1.732,174.67,No Failure,0
L,299.28,309.02,1453.2,43.55,58,1547.9,2.537,136.7,No Failure,0
L,301.55,311.43,1610.3,30.38,44,633.4,1.621,134.04,No Failure,0
L,300.97,311.37,1506.6,45.16,16,335.8,1.928,158.43,No Failure,0
L,302.64,313.27,1451.0,38.76,96,1478.0,2.332,159.0,No Failure,0
L,299.89,309.18,1822.5,3.5,75,786.4,1.121,166.53,Power Failure,1
L,296.54,307.41,1480.8,31.89,62,2838.4,2.333,132.39,No Failure,0
M,299.86,309.65,1430.8,41.91,212,141.1,3.45,146.09,No Failure,0
L,300.18,311.93,1270.3,50.66,55,695.5,2.14,157.9,No Failure,0
M,301.04,310.45,1486.1,43.31,65,660.2,2.207,144.66,No Failure,0
H,296.93,305.32,1400.1,50.51,101,1983.4,3.389,166.39,No Failure,0
M,299.38,310.21,1390.3,31.06,215,413.3,4.058,144.38,No Failure,0
L,301.74,312.16,1380.5,47.28,52,650.7,1.761,146.26,No Failure,0
L,299.79,310.99,1437.9,47.44,149,1290.7,2.867,145.8,No Failure,0
L,299.39,309.7,1707.8,23.69,236,1262.5,4.197,163.92,No Failure,0
M,303.81,316.15,1296.7,51.0,208,88.1,4.556,154.58,No Failure,0
L,297.86,307.67,1446.7,43.27,145,709.6,3.259,145.47,No Failure,0
L,302.47,313.51,1423.5,37.19,183,438.4,3.415,140.28,No Failure,0
H,302.04,311.52,1589.2,37.01,10,548.2,1.622,151.44,No Failure,0
M,299.55,310.04,1522.9,29.62,174,1311.4,3.067,154.5,No Failure,0
H,299.93,310.61,1496.2,46.31,55,1020.6,1.902,152.83,No Failure,0
L,299.93,310.76,1443.6,43.02,70,796.1,2.609,150.1,No Failure,0
H,300.36,311.14,1300.0,45.83,112,668.4,2.554,153.53,No Failure,0
L,298.81,305.57,1487.4,40.79,201,303.2,3.822,142.36,No Failure,0
L,299.14,309.08,1376.9,42.06,107,1418.6,2.721,152.06,No Failure,0
H,299.29,308.71,1624.4,37.04,51,417.1,2.379,148.22,No Failure,0
H,299.35,308.98,1577.5,50.77,171,689.0,3.32,137.45,No Failure,0
L,299.38,309.1,1508.9,46.06,149,487.7,2.828,150.46,No Failure,0
L,295.52,306.5,1428.5,41.73,193,300.0,3.261,150.31,No Failure,0
L,300.2,310.4,1512.8,38.65,125,202.2,2.817,134.58,No Failure,0
M,298.95,308.44,1667.5,22.32,142,2091.4,2.62,161.02,No Failure,0
H,296.27,304.8,1756.4,20.15,19,377.7,1.008,144.56,No Failure,0
L,299.3,310.83,1512.5,36.32,89,60.3,2.256,150.5,No Failure,0
L,299.24,308.59,1435.2,52.69,9,986.5,1.967,140.97,No Failure,0
M,302.55,312.42,1405.3,32.95,46,2080.1,2.131,147.98,No Failure,0
M,298.92,311.06,1575.0,33.34,203,2147.5,3.49,175.76,No Failure,0
L,301.34,310.72,1500.4,30.28,9,580.3,1.706,155.73,No Failure,0
M,302.77,312.49,1607.1,27.1,71,1134.3,2.065,147.02,No Failure,0
H,298.74,308.98,1479.7,30.86,15,418.9,1.582,135.76,No Failure,0
L,299.91,308.3,1514.7,42.79,109,3030.8,2.896,145.59,No Failure,0
M,303.46,311.74,1596.8,35.08,102,447.9,2.164,144.23,No Failure,0
M,300.46,309.98,1522.0,34.63,185,301.6,3.909,154.72,No Failure,0
M,300.75,310.3,1472.2,33.74,0,1338.8,1.498,142.0,No Failure,0
H,299.19,309.32,1532.7,42.37,33,1490.9,1.951,158.91,No Failure,0
M,301.37,310.4,1608.9,43.9,84,582.1,2.593,147.34,No Failure,0
M,299.92,310.35,1822.5,21.31,14,1143.8,1.708,132.79,No Failure,0
L,296.34,304.18,1596.5,32.4,1,664.5,1.583,162.72,No Failure,0
M,299.29,309.22,1532.2,39.11,145,34.0,3.223,145.35,No Failure,0
L,297.63,307.99,1346.5,44.39,215,381.5,3.864,140.49,No Failure,0
L,300.22,310.55,1608.0,41.28,17,168.1,1.471,149.32,No Failure,0
L,298.17,308.0,1225.1,48.23,52,754.2,1.506,154.64,No Failure,0
M,300.96,310.3,1720.2,25.88,220,874.9,3.766,143.67,No Failure,0
H,300.09,309.9,1469.2,44.15,165,627.6,3.636,157.63,No Failure,0
M,297.5,308.74,1168.0,60.51,73,65.0,2.381,138.93,No Failure,0
H,299.01,308.42,1526.5,40.48,223,543.2,3.444,163.84,No Failure,0
L,301.24,312.22,1478.8,40.88,139,1163.7,2.656,130.72,No Failure,0
M,302.3,313.43,1418.1,45.19,222,1793.6,3.731,143.46,No Failure,0
H,298.2,306.46,1519.3,34.55,114,703.8,2.345,162.66,No Failure,0
L,297.81,307.68,1574.0,30.53,205,98.6,3.483,143.2,Tool Wear Failure,1
H,303.9,312.92,1493.4,40.58,91,465.3,2.554,145.19,No Failure,0
M,299.98,308.48,1499.5,23.46,158,992.5,2.846,131.39,No Failure,0
L,300.18,310.97,1504.6,43.96,58,324.7,2.082,161.35,No Failure,0
M,298.52,308.99,1420.7,45.65,55,1888.3,1.969,149.13,No Failure,0
L,300.43,310.69,1771.1,23.96,26,612.0,1.074,158.56,No Failure,0
L,303.43,312.34,1564.4,41.63,106,1734.9,2.498,154.14,No Failure,0
L,300.51,310.72,1604.9,37.84,46,402.0,2.183,128.92,No Failure,0
L,302.13,310.82,1549.3,54.78,102,248.8,2.405,127.77,No Failure,0
L,300.06,310.14,1461.5,53.1,115,434.1,2.967,142.59,No Failure,0
H,297.95,307.29,1419.5,48.42,147,1106.7,2.896,171.27,No Failure,0
L,298.63,309.68,1172.9,52.11,25,918.6,1.677,146.1,No Failure,0
H,297.76,307.4,1550.9,36.35,97,1335.9,2.762,170.43,No Failure,0
M,300.44,310.67,1635.0,42.6,225,1459.3,4.248,133.25,No Failure,0
L,302.45,312.68,1600.7,37.48,23,551.7,1.906,157.36,No Failure,0
L,300.32,310.25,1534.1,30.03,230,1583.3,3.32,157.78,No Failure,0
H,299.38,309.49,1498.8,40.83,10,141.2,1.944,134.05,No Failure,0
M,298.42,308.72,1456.6,39.17,240,1637.0,4.183,127.45,No Failure,0
H,300.71,309.81,1543.7,37.98,101,838.9,3.146,167.37,No Failure,0
L,297.52,307.93,1458.8,39.41,173,1993.7,3.136,138.97,No Failure,0
M,297.73,308.6,1624.7,40.61,217,676.1,3.873,164.4,No Failure,0
M,301.8,312.2,1439.8,48.88,191,914.2,3.398,141.22,No Failure,0
H,299.44,309.09,1569.9,34.16,176,1193.7,2.651,162.5,No Failure,0
L,299.41,309.58,1527.8,27.2,17,766.9,0.943,147.97,No Failure,0
H,299.66,309.3,1408.2,46.78,76,426.9,2.492,160.44,No Failure,0
L,301.45,311.33,1327.5,48.57,216,1641.7,3.688,158.53,No Failure,0
H,300.33,309.14,1598.9,43.58,233,588.3,4.137,167.53,No Failure,0
M,298.51,309.89,1544.9,28.61,72,1078.3,2.266,166.78,No Failure,0
M,298.59,310.52,1524.9,38.69,164,280.9,3.199,158.4,No Failure,0
L,299.61,308.91,1337.8,42.85,113,722.5,2.302,146.35,No Failure,0
H,300.6,311.39,1474.6,29.32,209,1496.8,3.161,128.7,No Failure,0
L,299.93,311.39,1538.6,32.36,218,1156.4,3.679,147.93,No Failure,0
L,299.75,308.79,1483.7,38.53,206,861.7,3.712,146.8,No Failure,0
M,300.09,307.93,1427.4,51.83,191,165.9,3.833,168.29,No Failure,0
M,299.93,311.44,1663.0,42.25,155,960.5,3.436,166.17,No Failure,0
L,298.44,308.43,1364.2,34.27,248,360.5,3.874,151.48,No Failure,0
M,302.21,311.69,1604.2,37.98,234,770.3,3.944,156.92,No Failure,0
L,299.04,309.08,1598.1,33.34,98,1329.2,2.595,171.44,No Failure,0
M,300.26,309.89,1477.3,35.88,112,157.9,2.909,141.39,No Failure,0
M,295.88,308.84,1403.2,47.22,95,993.3,2.672,153.18,No Failure,0
M,299.57,309.04,1754.4,20.8,196,1082.3,3.143,141.02,No Failure,0
H,297.8,308.13,1389.2,53.15,221,296.5,4.147,158.87,No Failure,0
M,298.04,309.33,1295.9,61.89,50,750.2,2.533,144.03,No Failure,0
L,304.84,316.13,1392.6,41.63,122,650.7,2.752,128.76,No Failure,0
M,300.5,311.6,1491.2,31.69,235,207.9,3.575,164.53,No Failure,0
L,302.45,312.03,1297.5,51.63,54,440.3,1.838,149.17,No Failure,0
L,301.71,311.56,1557.4,42.78,182,509.6,3.617,166.85,No Failure,0
M,301.97,309.79,1471.5,34.74,204,1389.8,3.655,165.06,No Failure,0
L,299.6,309.53,1470.3,30.28,67,1100.1,2.136,153.88,No Failure,0
L,303.21,313.25,1548.2,35.94,54,1057.3,2.163,132.55,No Failure,0
H,301.69,312.44,1411.1,41.93,146,1038.6,3.03,155.2,No Failure,0
L,300.08,311.88,1567.6,48.96,204,1348.6,4.362,145.51,No Failure,0
L,300.53,311.24,1481.0,42.84,5,261.6,1.954,177.64,No Failure,0
L,299.73,310.8,1482.1,44.54,243,383.8,4.685,156.98,No Failure,0
L,300.1,310.09,1545.4,36.66,131,1402.1,2.627,168.04,No Failure,0
M,299.91,311.2,1483.0,48.55,29,643.9,2.026,153.39,No Failure,0
M,300.76,310.77,1580.5,37.93,190,728.0,3.424,167.17,No Failure,0
M,303.48,314.62,1355.6,58.38,128,253.4,3.665,158.15,No Failure,0
L,297.59,308.39,1460.8,33.47,91,286.9,1.742,146.37,No Failure,0
M,302.28,312.68,1454.6,43.95,83,1512.3,2.676,164.4,No Failure,0
L,299.26,307.72,1330.2,61.89,184,1749.6,3.926,131.52,Heat Dissipation Failure,1
M,302.54,313.63,1269.8,50.42,105,592.8,3.172,168.13,No Failure,0
M,299.33,309.71,1250.9,47.45,182,3738.0,3.401,169.07,No Failure,0
L,300.83,311.53,1367.1,42.97,204,639.4,3.178,157.06,No Failure,0
H,299.68,310.0,1320.2,40.53,233,1580.8,4.509,144.08,No Failure,0
M,296.54,307.02,1470.1,38.26,227,857.3,3.832,136.87,No Failure,0
L,303.48,314.78,1475.4,34.38,240,542.9,4.174,160.48,Tool Wear Failure,1
M,298.11,307.64,1630.8,24.64,165,1046.5,2.851,157.64,No Failure,0
M,300.17,310.64,1512.6,46.41,52,244.1,2.59,126.84,No Failure,0
L,297.9,307.12,1649.1,24.62,7,1745.9,1.595,145.28,No Failure,0
L,297.33,307.9,1487.0,46.51,80,487.1,2.897,130.89,No Failure,0
M,299.59,309.84,1609.9,36.91,122,707.8,2.66,149.31,No Failure,0
H,298.81,308.18,1547.1,30.45,56,423.0,2.375,143.47,No Failure,0
M,297.66,307.76,1168.0,54.06,193,808.2,3.97,150.53,No Failure,0
M,299.93,309.36,1458.9,25.51,97,518.9,1.737,137.14,No Failure,0
M,297.04,306.66,1598.1,33.34,232,608.0,4.197,166.37,No Failure,0
L,300.25,310.61,1563.5,34.27,9,505.2,1.75,129.83,No Failure,0
L,299.75,310.01,1550.6,41.5,29,100.8,1.832,161.25,No Failure,0
L,295.04,303.12,1804.8,33.87,120,885.1,2.639,163.43,No Failure,0
H,298.95,309.32,1402.8,54.62,71,407.7,2.302,134.6,No Failure,0
H,300.94,310.63,1601.1,26.29,221,1242.9,3.582,144.65,No Failure,0
H,297.87,307.46,1243.1,76.0,126,380.3,3.747,150.75,Power Failure,1
L,301.02,309.9,1477.6,29.41,181,549.9,3.234,128.53,No Failure,0
M,300.87,310.82,1331.5,69.56,174,988.9,4.002,147.38,Power Failure,1
M,297.96,307.44,1397.1,50.93,141,958.8,3.066,132.39,No Failure,0
L,299.98,311.25,1660.3,38.9,164,5.3,2.943,147.61,No Failure,0
L,301.65,309.9,1337.8,42.27,62,328.3,2.277,142.51,Heat Dissipation Failure,1
M,298.25,307.28,1530.7,36.21,101,597.4,2.613,152.31,No Failure,0
M,299.59,308.56,1415.8,43.47,61,109.7,2.157,145.26,No Failure,0
M,302.3,312.56,1463.0,32.63,220,170.9,3.796,153.94,Tool Wear Failure,1
L,298.28,309.46,1499.3,47.09,20,962.8,2.202,141.36,No Failure,0
M,300.92,311.42,1456.9,41.82,214,826.4,4.07,109.35,No Failure,0
L,297.84,306.75,1698.9,30.1,20,1648.4,1.457,146.42,No Failure,0
L,299.68,309.25,1418.0,44.27,110,1244.2,2.288,132.43,No Failure,0
M,300.89,310.08,1435.4,43.65,191,340.4,3.714,161.28,No Failure,0
L,295.19,305.7,1738.7,32.83,115,1530.4,2.521,135.03,No Failure,0
H,298.93,308.48,1412.6,35.72,235,1264.5,3.872,162.45,No Failure,0
L,300.86,309.45,1388.5,45.12,216,535.7,3.718,156.8,No Failure,0
L,300.45,311.04,1168.0,50.91,211,660.9,4.419,151.71,No Failure,0
L,298.96,310.22,1471.2,38.58,178,783.6,3.227,164.41,No Failure,0
M,297.79,307.61,1487.7,49.31,234,654.7,4.689,120.02,No Failure,0
L,301.26,311.38,1443.5,51.67,85,895.2,2.918,148.42,No Failure,0
L,299.36,307.85,1408.7,53.03,20,121.8,2.377,149.36,No Failure,0
L,301.09,309.03,1387.8,44.17,131,417.5,2.955,144.68,No Failure,0
L,300.76,308.91,1555.0,30.98,88,185.4,2.051,150.06,No Failure,0
M,299.11,309.06,1392.9,48.91,18,365.9,2.169,147.24,No Failure,0
L,302.15,311.84,1514.8,38.09,59,863.7,2.255,133.24,No Failure,0
L,298.81,309.36,1475.2,45.07,14,839.3,1.691,155.8,No Failure,0
M,302.38,312.18,1518.7,33.71,24,833.7,1.928,143.62,No Failure,0
L,302.64,313.63,1550.2,34.0,199,1675.3,3.647,153.29,No Failure,0
M,302.1,312.97,1547.3,32.99,59,765.7,1.534,150.5,No Failure,0
L,299.64,309.32,1545.3,26.75,134,579.6,2.861,161.45,No Failure,0
M,305.09,314.09,1554.1,34.13,160,665.5,3.373,171.39,No Failure,0
L,300.3,308.39,1467.7,29.67,75,61.8,1.687,128.98,No Failure,0
L,300.48,311.92,1471.0,45.66,120,908.7,3.5,163.28,No Failure,0
L,299.96,309.01,1485.2,29.35,116,361.9,2.968,158.07,No Failure,0
